term,translation,context,status,notes
absolute dating methods (see also chronometric dating methods),Các phương pháp xác định niên đại tuyệt đối (xem thêm các phương pháp xác định niên đại bằng phương pháp đo thời gian),,approved,
archaeobotanist,nhà khảo cổ học thực vật,,approved,
archaeological context,bối cảnh khảo cổ học,,approved,
archaeological excavation,khai quật khảo cổ,,approved,
armchair anthropology,nhân học ngồi ghế bành,,approved,
chronometric dating methods,phương pháp xác định niên đại bằng phương pháp đo thời gian,,approved,
cross-cutting relationship,mối quan hệ xuyên suốt,,approved,
dendrochronology,niên đại học cây,,approved,
ecofacts,sự thật sinh thái,,approved,
emic perspective,quan điểm nội tại,,approved,
ethnology,dân tộc học,,approved,
etic (or ethnocentric) perspective,quan điểm vị kỷ (hoặc vị chủng),,approved,
features,đặc trưng,,approved,
feminist anthropology,nhân học nữ quyền,,approved,
hypothesis,giả thuyết,,approved,
institutional review board,hội đồng đánh giá thể chế,,approved,
interpretation,diễn giải,,approved,
interview,phỏng vấn,,approved,
law of superposition,định luật chồng chất,,approved,
NAGPRA,NAGPRA,,approved,
naturalism,chủ nghĩa tự nhiên,,approved,
open-ended,không giới hạn,,approved,
oral histories,lịch sử truyền miệng,,approved,
participant observation,quan sát tham gia,,approved,
primary context,bối cảnh chính,,approved,
provenance,nguồn gốc,,approved,
qualitative data,dữ liệu định tính,,approved,
radiocarbon dating,định tuổi bằng đồng vị carbon phóng xạ,,approved,
relative dating,xác định niên đại tương đối,,approved,
repatriation,hồi hương,,approved,
research question,câu hỏi nghiên cứu,,approved,
retesting,kiểm tra lại,,approved,
salvage anthropology,nhân học cứu hộ,,approved,
scientific method,phương pháp khoa học,,approved,
secondary context,bối cảnh thứ cấp,,approved,
seriation,sắp xếp theo thứ tự,,approved,
statistics,thống kê,,approved,
strata,tầng,,approved,
stratigraphic superposition,sự chồng chất địa tầng,,approved,
stratigraphy,địa tầng học,,approved,
stratum,tầng,,approved,
theory,lý thuyết,,approved,
three-dimensional collection,bộ sưu tập ba chiều,,approved,
typological sequence,trình tự kiểu loại,,approved,
zooarchaeologist,nhà khảo cổ học động vật,,approved,
cultural appropriation,sự chiếm đoạt văn hóa,,approved,
cultural ecology,sinh thái văn hóa,,approved,
cultural evolutionism,chủ nghĩa tiến hóa văn hóa,,approved,
cultural frames,khung văn hóa,,approved,
cultural materialism,chủ nghĩa duy vật văn hóa,,approved,
cultural practices,các hoạt động văn hóa,,approved,
cultural role,vai trò văn hóa,,approved,
culture,văn hoá,,approved,
diffusion,khuếch tán,,approved,
friction,ma sát,,approved,
functionalism,chủ nghĩa chức năng,,approved,
historical particularism,chủ nghĩa đặc thù lịch sử,,approved,
ideology,hệ tư tưởng,,approved,
innovation,sự đổi mới,,approved,
intellectual property,sở hữu trí tuệ,,approved,
invention,sự phát minh,,approved,
material culture,văn hóa vật chất,,approved,
norm,chuẩn mực,,approved,
ontological anthropology,nhân học bản thể luận,,approved,
ontology,bản thể luận,,approved,
rite of passage,nghi lễ chuyển tiếp,,approved,
ritual,nghi thức,,approved,
social structure,cấu trúc xã hội,,approved,
structural functionalism,chủ nghĩa chức năng cấu trúc,,approved,
structuralism,chủ nghĩa cấu trúc,,approved,
symbol,biểu tượng,,approved,
technology,công nghệ,,approved,
unilineal evolution,tiến hóa đơn tuyến,,approved,
values,giá trị,,approved,
worldview,thế giới quan,,approved,
allele,alen,,approved,
allopatric speciation,sự hình thành loài dị địa,,approved,
analogous structures,cấu trúc tương tự,,approved,
ancestral characteristics,đặc điểm tổ tiên,,approved,
angiosperm theory,lý thuyết thực vật hạt kín,,approved,
arboreal theory,lý thuyết cây cối,,approved,
artificial selection,lựa chọn nhân tạo,,approved,
binomial nomenclature,danh pháp nhị thức,,approved,
bioarchaeology,khảo cổ sinh học,,approved,
biological species definition,định nghĩa loài sinh học / loài sinh học,,approved,
Catarrhini,Catarrhini / Catarrhines,,approved,
catastrophism,thảm họa,,approved,
Cercopithecoidea,Cercopithecoidea,,approved,
cladistics,phân loại học,,approved,
derived characteristics,đặc điểm bắt nguồn,,approved,
diastema,diastema / khe hở / khe răng / khe hở răng,,approved,
ecological species definition,định nghĩa loài sinh thái / loài sinh thái,,approved,
ethnotaxonomy,phân loại dân tộc học,,approved,
evolution,sự tiến hóa,,approved,
foramen magnum,foramen magnum / lỗ chẩm / lỗ lớn,,approved,
gene flow,dòng gen,,approved,
genetic anthropology,nhân chủng học di truyền,,approved,
genetic drift,sự trôi dạt di truyền,,approved,
genotype,kiểu gen,,approved,
gradualism,chủ nghĩa tiến hóa,,approved,
great chain of being,chuỗi vĩ đại của sự tồn tại,,approved,
Haplorrhini,Haplorrhini,,approved,
hominid,người,,approved,
hominin,hominin / tông người / người tiền sử,,approved,
Hominoidea,Hominoidea,,approved,
homologous structures,cấu trúc tương đồng,,approved,
hybrid zones,khu vực lai,,approved,
industrial melanism,bệnh hắc tố công nghiệp,,approved,
inheritance of acquired characteristics,sự kế thừa các đặc điểm thu được,,approved,
interspecific variation,sự biến dị giữa các loài / biến dị giữa các loài,,approved,
intraspecific variation,biến dị nội loài,,approved,
law of independent assortment,quy luật phân ly độc lập / quy luật phân li độc lập / định luật phân ly độc lập,,approved,
law of segregation,quy luật phân ly / quy luật phân li,,approved,
morphology,hình thái học,,approved,
mutation,đột biến,,approved,
natural selection,chọn lọc tự nhiên / lựa chọn tự nhiên,,approved,
paleoanthropology,cổ nhân học,,approved,
Parapithecoidea,Parapithecoidea,,approved,
phenotype,kiểu hình,,approved,
phylogenetic species definition,định nghĩa loài theo hệ thống phát sinh loài,,approved,
Platyrrhini,Platyrrhini,,approved,
polygenic traits,đặc điểm đa gen,,approved,
primatology,nghiên cứu linh trưởng,,approved,
Proconsul,Proconsul,,approved,
prognathism,prognathism / hàm nhô / hàm nhô ra,,approved,
Propliopithecoidea,Propliopithecoidea,,approved,
punctuated equilibrium,cân bằng gián đoạn,,approved,
Purgatorius,Purgatorius,,approved,
reproductive isolation,cách ly sinh sản,,approved,
socioecological system,hệ thống sinh thái xã hội,,approved,
species,loài / giống loài,,approved,
Strepsirrhini,Strepsirrhini,,approved,
survival of the fittest,sự sống sót của kẻ mạnh nhất,,approved,
sympatric speciation,sự hình thành loài cùng khu vực,,approved,
taxa,đơn vị phân loại,,approved,
taxon,phân loại,,approved,
taxonomy,phân loại,,approved,
uniformitarianism,chủ nghĩa đồng nhất,,approved,
visual predation hypothesis,giả thuyết săn mồi bằng thị giác,,approved,
code-switching,chuyển đổi mã,,approved,
communication,giao tiếp,,approved,
dialect,phương ngữ,,approved,
folk taxonomies,phân loại dân gian,,approved,
FOXP2,FOXP2,,approved,
incantation,câu thần chú,,approved,
language,ngôn ngữ,,approved,
language acquisition,tiếp thu ngôn ngữ,,approved,
language ideologies,ngôn ngữ hệ tư tưởng,,approved,
language revitalization,phục hồi ngôn ngữ,,approved,
language socialization,xã hội hóa ngôn ngữ,,approved,
linguistic relativity,thuyết tương đối ngôn ngữ,,approved,
linguistic universals,các quy luật ngôn ngữ phổ quát,,approved,
metaphor,ẩn dụ,,approved,
mirror neurons,tế bào thần kinh phản chiếu,,approved,
naming ceremony,lễ đặt tên,,approved,
performativity,khả năng trình diễn,,approved,
protolanguage,ngôn ngữ nguyên thủy,,approved,
Sapir-Whorf hypothesis,Giả thuyết Sapir-Whorf,,approved,
speech community,cộng đồng ngôn ngữ,,approved,
vernacular,ngôn ngữ bản địa,,approved,
alternative modernity,hiện đại thay thế,,approved,
animal domestication,thuần hóa động vật,,approved,
balanced reciprocity,sự tương hỗ cân bằng,,approved,
band,ban nhạc,,approved,
colonialism,chủ nghĩa thực dân,,approved,
commodity fetishism,sự sùng bái hàng hóa,,approved,
cultivation,canh tác,,approved,
egalitarian,bình đẳng,,approved,
extensive horticulture,trồng trọt quy mô lớn,,approved,
extensive or shifting cultivation,canh tác quy mô lớn hoặc canh tác luân canh,,approved,
fallow,bỏ hoang,,approved,
gathering-hunting,săn bắt hái lượm,,approved,
general-purpose money,tiền đa dụng,,approved,
generalized reciprocity,sự tương hỗ tổng quát,,approved,
globalization,toàn cầu hóa,,approved,
humus,mùn,,approved,
hxaro,xe hơi,,approved,
industrialism,công nghiệp hóa,,approved,
intensive agriculture,nông nghiệp thâm canh,,approved,
intercropping,trồng xen canh,,approved,
markets,thị trường,,approved,
mode of subsistence,phương thức sinh kế,,approved,
modernity,hiện đại,,approved,
money,tiền bạc,,approved,
monumental architecture,kiến trúc đồ sộ,,approved,
nomadism,lối sống du mục,,approved,
pastoralism,chăn thả gia súc,,approved,
peasants,nông dân,,approved,
plant domestication,thuần hóa thực vật,,approved,
postmodernity,hậu hiện đại,,approved,
potlatch,potlatch,,approved,
precarity,sự bấp bênh,,approved,
redistribution,phân phối lại,,approved,
seminomadic,bán du mục,,approved,
sexual division of labor,phân công lao động theo giới tính,,approved,
slash and burn,chặt phá và đốt,,approved,
special-purpose money,tiền chuyên dụng,,approved,
surplus,thặng dư,,approved,
time-space compression,nén thời gian-không gian,,approved,
transhumance,chăn thả du mục,,approved,
universalism,chủ nghĩa phổ quát,,approved,
usufruct rights,quyền hưởng lợi,,approved,
acephalous societies,xã hội không có người đứng đầu,,approved,
age sets,nhóm tuổi,,approved,
Arab Spring,Mùa xuân Ả Rập,,approved,
asafo,hội thánh,,approved,
authority,thẩm quyền,,approved,
band societies,các hội nhóm,,approved,
big man,người đàn ông to lớn,,approved,
centralized societies,xã hội tập trung,,approved,
chief,trưởng,,approved,
chiefdoms,các lãnh địa,,approved,
chinampas,chinampas,,approved,
clans,thị tộc,,approved,Hiệu đính bởi AI
coercive power,quyền lực cưỡng chế,,approved,
colonial states,các quốc gia thuộc địa,,approved,
failed state,trạng thái thất bại,,approved,
fragile state,trạng thái dễ vỡ,,approved,
hegemony,bá quyền,,approved,
imagined communities,cộng đồng tưởng tượng,,approved,
king,nhà vua,,approved,
leopard-skin chief,thủ lĩnh da báo,,approved,
lineage orders,thứ tự dòng dõi,,approved,
nation,Quốc gia,,approved,
nation-state,quốc gia-nhà nước,,approved,
parrhesia,parrhesia,,approved,
persuasive power,sức mạnh thuyết phục,,approved,
political economy,kinh tế chính trị,,approved,
politics,chính trị,,approved,
postcolonial studies,nghiên cứu hậu thuộc địa,,approved,
power,quyền lực,,approved,
proto-states,trạng thái nguyên thủy,,approved,
reform,cải cách,,approved,
resistance,sức chống cự,,approved,
revolution,cuộc cách mạng,,approved,
segmentary lineage,dòng dõi phân đoạn,,approved,
social movement,phong trào xã hội,,approved,
social stratification,phân tầng xã hội,,approved,
state societies,xã hội nhà nước,,approved,
tribal societies,xã hội bộ lạc,,approved,
tribe,bộ lạc,,approved,
village democracies,nền dân chủ làng xã,,approved,
agency,hãng,,approved,
ahistorical,phi lịch sử,,approved,
biopolitics,chính trị sinh học,,approved,
bourgeoisie,giai cấp tư sản,,approved,
capitalism,chủ nghĩa tư bản,,approved,
caste,đẳng cấp,,approved,
class,lớp học,,approved,
color blindness,mù màu,,approved,
cultural capital,vốn văn hóa,,approved,
decolonizing anthropology,giải thực dân hóa nhân học,,approved,
diaspora,cộng đồng người di cư,,approved,
downward social mobility,sự suy giảm địa vị xã hội,,approved,
economic capital,vốn kinh tế,,approved,
habitus,thói quen,,approved,
hierarchy,hệ thống phân cấp,,approved,
ideological state apparatuses,bộ máy nhà nước mang tính ý thức hệ,,approved,
inequality,bất bình đẳng,,approved,
inequity,bất bình đẳng,,approved,
institutional inequalities,bất bình đẳng thể chế,,approved,
intergenerational wealth,sự giàu có giữa các thế hệ,,approved,
interpersonal inequalities,bất bình đẳng giữa các cá nhân,,approved,
intersectionality,tính giao thoa,,approved,Đã hiệu đính theo ý kiến của bro
meritocracy,chế độ trọng dụng nhân tài,,approved,
microaggressions,những hành vi vi phạm nhỏ,,approved,
misogynoir,sự kỳ thị phụ nữ da đen,,approved,
misogyny,sự thù ghét phụ nữ,,approved,
Nakba,Nakba,,approved,
necropolitics,chính trị tử thần,,approved,
neocolonialism,chủ nghĩa tân thực dân,,approved,
neoliberalism,chủ nghĩa tân tự do,,approved,
oppression,sự áp bức,,approved,
paradigms,mô hình,,approved,
patriarchy,chế độ phụ hệ,,approved,Đã hiệu đính theo ý kiến của bro
proletariat,giai cấp vô sản,,approved,
racial capitalism,chủ nghĩa tư bản chủng tộc,,approved,
racial refusal,từ chối chủng tộc,,approved,
racism,phân biệt chủng tộc,,approved,
repressive state apparatuses,bộ máy nhà nước đàn áp,,approved,
social capital,vốn xã hội,,approved,
social mobility,di chuyển xã hội,,approved,
Sojourner syndrome,Hội chứng Sojourner,,approved,
state apparatus,bộ máy nhà nước,,approved,
structural inequalities,bất bình đẳng cấu trúc,,approved,
structural violence,bạo lực cấu trúc,,approved,
symbolic capital,vốn biểu tượng,,approved,
symbolic violence,bạo lực mang tính biểu tượng,,approved,
systematic oppression,sự đàn áp có hệ thống,,approved,
systemic inequalities,bất bình đẳng hệ thống,,approved,
systemic oppression,sự áp bức có hệ thống,,approved,
systems,hệ thống,,approved,
White privilege,Đặc quyền của người da trắng,,approved,
White supremacy,Chủ nghĩa thượng đẳng da trắng,,approved,
Whiteness,Màu trắng,,approved,
asylum,tị nạn,,approved,
chain migration,di cư theo chuỗi,,approved,
circular migration,di cư tuần hoàn,,approved,
cultural hybridity,sự lai tạp văn hóa,,approved,
displacement,sự dịch chuyển,,approved,
environmental migration,di cư môi trường,,approved,
epidemic,bệnh dịch,,approved,
forced labor,lao động cưỡng bức,,approved,
forced migration,di cư cưỡng bức,,approved,
human trafficking,buôn bán người,,approved,
immigrant,người nhập cư,,approved,
internal migration,di cư nội bộ,,approved,
labor migration,di cư lao động,,approved,
migrant,người di cư,,approved,
migration,di cư,,approved,
modern slavery,nô lệ hiện đại,,approved,
pandemic,dịch bệnh,,approved,
postcolonialism,chủ nghĩa hậu thuộc địa,,approved,
remittances,kiều hối,,approved,
transnationalism,chủ nghĩa xuyên quốc gia,,approved,
affinal tie,liên kết thông gia,,approved,Hiệu đính bởi AI
ambilineal descent,dòng dõi lưỡng tuyến,,approved,
ambilocal residence,cư trú ambilocal,,approved,
avunculocal residence,cư trú bên cậu,,approved,Hiệu đính bởi AI
bifurcate merging kinship,phân nhánh hợp nhất quan hệ họ hàng,,approved,
bilateral descent,dòng dõi song hệ,,approved,Hiệu đính bởi AI
blended families,gia đình hỗn hợp,,approved,
bride service,dịch vụ cô dâu,,approved,
bride wealth,sính lễ cưới,,approved,Hiệu đính bởi AI
cognatic descent,dòng dõi huyết thống,,approved,
collateral kin,họ hàng bên ngoài,,approved,
compadrazgo,vai trò cha mẹ đỡ đầu,,approved,
consanguineal tie,mối quan hệ huyết thống,,approved,
cross cousin,anh em họ chéo,,approved,
descent,dòng dõi,,approved,Hiệu đính bởi AI
dowry,của hồi môn,,approved,
EGO,CÁI TÔI,,approved,
extended family,gia đình mở rộng,,approved,
family,gia đình,,approved,
family of orientation,gia đình định hướng,,approved,
family of procreation,gia đình sinh sản,,approved,
fictive kin,họ hàng hư cấu,,approved,
fraternal polyandry,đa phu anh em,,approved,
generational kinship,quan hệ họ hàng giữa các thế hệ,,approved,
ghost marriage,hôn nhân ma,,approved,
household,hộ gia đình,,approved,
incest taboo,điều cấm kỵ loạn luân,,approved,
kindred,họ hàng,,approved,
kinship,quan hệ họ hàng,,approved,
levirate,hôn nhân levirate,,approved,Hiệu đính bởi AI
lineage,dòng dõi,,approved,
lineal kinship,quan hệ họ hàng trực hệ,,approved,
marriage,kết hôn,,approved,
marriage compensation,bồi thường hôn nhân,,approved,
matrilineal (uterine) descent,dòng dõi mẫu hệ (tử cung),,approved,
matrilocal residence,cư trú theo mẫu hệ,,approved,
moieties,các phần tử,,approved,
monogamy,một vợ một chồng,,approved,
neolocal residence,cư trú tân địa phương,,approved,
nuclear family,gia đình hạt nhân,,approved,
parallel cousin,anh em họ song song,,approved,
patrilineal (agnatic) descent,dòng dõi phụ hệ (dòng dõi nam giới),,approved,
patrilocal residence,nơi cư trú theo cha,,approved,
polyandry,đa phu,,approved,
polygamy,đa thê,,approved,
polygyny,đa thê,,approved,
postmarital residence rules,quy tắc cư trú sau hôn nhân,,approved,
remarriage obligations,nghĩa vụ tái hôn,,approved,
serial monogamy,chế độ một vợ một chồng liên tiếp,,approved,
sociocultural construction,sự xây dựng văn hóa xã hội,,approved,
sororate,hôn nhân sororate,,approved,Hiệu đính bởi AI
terms of address,từ ngữ xưng hô,,approved,Hiệu đính bởi AI
terms of reference,từ ngữ quy chiếu,,approved,Hiệu đính bởi AI
unilineal descent,dòng dõi đơn tuyến,,approved,
asexual,vô tính,,approved,Đã hiệu đính theo ý kiến của bro
bisexual,song tính,,approved,Đã hiệu đính theo ý kiến của bro
essentialism,chủ nghĩa bản chất,,approved,Đã hiệu đính theo ý kiến của bro
gay,đồng tính nam,,approved,
gender,giới,,approved,Đã hiệu đính theo ý kiến của bro
gender ideology,hệ tư tưởng giới,,approved,Đã hiệu đính theo ý kiến của bro
gender nonbinary,giới phi nhị nguyên,,approved,Đã hiệu đính theo ý kiến của bro
gynocentric,lấy phụ nữ làm trung tâm,,approved,Đã hiệu đính theo ý kiến của bro
heteronormativity,chuẩn dị tính,,approved,Đã hiệu đính theo ý kiến của bro
heterosexual,dị tính,,approved,Đã hiệu đính theo ý kiến của bro
intersex,liên giới tính,,approved,Đã hiệu đính theo ý kiến của bro
lesbian,đồng tính nữ,,approved,
matriarchy,chế độ mẫu hệ,,approved,
multiple gender,nhiều giới tính,,approved,
pansexual,toàn tính,,approved,Đã hiệu đính theo ý kiến của bro
queer,queer,,approved,Đã hiệu đính theo ý kiến của bro
queer anthropology,nhân học queer,,approved,Đã hiệu đính theo ý kiến của bro
sex,giới tính (sinh học),,approved,Đã hiệu đính theo ý kiến của bro
sexual dimorphism,dị hình giới tính,,approved,Đã hiệu đính theo ý kiến của bro
sexual orientation,xu hướng tính dục,,approved,Đã hiệu đính theo ý kiến của bro
sexuality,tính dục,,approved,Đã hiệu đính theo ý kiến của bro
sociobiology,sinh học xã hội,,approved,Đã hiệu đính theo ý kiến của bro
variant female,biến thể nữ,,approved,Đã hiệu đính theo ý kiến của bro
variant gender,giới biến thể,,approved,Đã hiệu đính theo ý kiến của bro
variant male,biến thể nam,,approved,Đã hiệu đính theo ý kiến của bro
agnosticism,bất khả tri,,approved,
animism,thuyết vật linh,,approved,
atheism,chủ nghĩa vô thần,,approved,
binary opposition,sự đối lập nhị nguyên,,approved,
communitas,cộng đồng,,approved,
deity,thần thánh,,approved,
divination,bói toán,,approved,
doctrine,học thuyết,,approved,
earth-diver myths,những huyền thoại về người lặn trái đất,,approved,
exorcism,trừ tà,,approved,
goddesses,nữ thần,,approved,
gods,các vị thần,,approved,
hierophany,sự hiển linh,,approved,
law of contagion,luật lây lan,,approved,
law of similarity,luật tương tự,,approved,
liminality,tính chuyển tiếp,,approved,
magic,ma thuật,,approved,
mana,mana,,approved,
metonym,hoán dụ,,approved,
monotheistic religion,tôn giáo độc thần,,approved,
multivocal,đa thanh,,approved,
myth,thần thoại,,approved,
mythemes,chủ đề thần thoại,,approved,
none,không có,,approved,
pilgrimage,cuộc hành hương,,approved,
place,địa điểm,,approved,
polytheistic religion,tôn giáo đa thần,,approved,
priests,linh mục,,approved,
primary messages,thông điệp chính,,approved,
prophet,nhà tiên tri,,approved,
proselytization,truyền đạo,,approved,
religion,tôn giáo,,approved,
rite of affliction,nghi lễ đau khổ,,approved,
rite of intensification,nghi lễ tăng cường,,approved,
rituals,nghi lễ,,approved,
secular religion,tôn giáo thế tục,,approved,
shaman,thầy đồng / shaman,,approved,
shamanism,shaman giáo / tín ngưỡng shaman,,approved,
sorcery,phép thuật,,approved,
space,không gian,,approved,
spirit,linh hồn / thần linh,,approved,
spirituality,tâm linh,,approved,
state religion,tôn giáo nhà nước,,approved,
superstition,mê tín dị đoan,,approved,
syncretism,sự pha trộn,,approved,
witchcraft,thuật phù thủy,,approved,
basalt,bazan,,approved,
biocultural approach,phương pháp tiếp cận sinh học văn hóa,,approved,
cannibalism,ăn thịt người,,approved,
cuisine,ẩm thực,,approved,
cultural heritage,di sản văn hóa,,approved,
cultural identity,bản sắc văn hóa,,approved,
feasts,các bữa tiệc,,approved,
food,đồ ăn,,approved,
food deserts,vùng thiếu thực phẩm,,approved,
food oases,ốc đảo ẩm thực,,approved,
food prescriptions,đơn thuốc thực phẩm,,approved,
food proscriptions,cấm ăn uống,,approved,
foodways,ẩm thực,,approved,
genetically modified plants,cây trồng biến đổi gen,,approved,
heirloom seeds,hạt giống gia truyền,,approved,
locavore,người ăn địa phương,,approved,
residue studies,nghiên cứu dư lượng,,approved,
shell midden,bãi vỏ sò,,approved,
"""the medium is the message""","""Phương tiện truyền thông chính là thông điệp""",,approved,
community radio,đài phát thanh cộng đồng,,approved,
cosmopolitanism,chủ nghĩa quốc tế,,approved,
ethnographic film,phim dân tộc học,,approved,
Faustian bargain,Thỏa thuận với quỷ dữ,,approved,
imperial gaze,ánh nhìn hoàng gia,,approved,
independent media,truyền thông độc lập,,approved,
Indigenous media,Truyền thông bản địa,,approved,
male gaze,cái nhìn của nam giới,,approved,
mass media,phương tiện truyền thông đại chúng,,approved,
media,phương tiện truyền thông,,approved,
media ideologies,hệ tư tưởng truyền thông,,approved,
public sphere,lĩnh vực công cộng,,approved,
sakawa,sakawa,,approved,Thuật ngữ văn hóa Ghana
sociality,tính xã hội,,approved,
soli,soli,,approved,Thuật ngữ văn hóa Ghana
state media,truyền thông nhà nước,,approved,
technophilia,yêu thích công nghệ,,approved,
the gaze,ánh nhìn,,approved,
visual anthropology,nhân học thị giác,,approved,
voyeuristic,nhìn trộm,,approved,
art,nghệ thuật,,approved,
body painting,vẽ tranh trên cơ thể,,approved,
graffiti,graffiti,,approved,
iconographic study,nghiên cứu biểu tượng,,approved,
meme,meme,,approved,
performance,hiệu suất / trình diễn / biểu diễn,,approved,
rezball,quả bóng rez,,approved,
scarification,xăm mình,,approved,
sociodemographic,nhân khẩu học xã hội,,approved,
