finding_id,severity,chapter,stage,file,block_id,tag,issue_type,likely_cause,english_snippet,source_snippet,vn_snippet,similarity_score,recommended_action
F-0017,P0,chapter-6,05-translated,6-2-using-the-normal-distribution.html,eip-idm21130928-vn,p,identical_to_source,CAUSE_PARTIAL_TRANSLATION,"b. normalcdf(–1099,50.8,36.9,13.9) = 0.8413","b. normalcdf(–1099,50.8,36.9,13.9) = 0.8413","b. normalcdf(–10,50.8,36.9,13.9) = 0.8413",1.0,Rerun translation for block with clean glossary context.
F-0018,P1,chapter-6,05-translated,6-2-using-the-normal-distribution.html,eip-809-vn,p,identical_to_source,CAUSE_TRANSLATION_SKIPPED,"a. normalcdf(6,10^99,5.85,0.24) = 0.2660","a. normalcdf(6,10^99,5.85,0.24) = 0.2660","a. normalcdf(6,10^99,5.85,0.24) = 0.2660",1.0,Rerun translation for block with clean glossary context.
F-0019,P0,chapter-8,07-archive-vn-only,8-5-confidence-interval-place-of-birth.html,N/A,li,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,"Survey the students in your class, asking them if they were born in this state. Let X = the number that were born in this state.

n = ____________
x =",0.0,Verify if exporter config parsed wrong classes.
F-0020,P0,chapter-9,05-translated,9-homework.html,id12545176-vn,p,identical_to_source,CAUSE_TRANSLATION_SKIPPED,"Ai, Akemi, Akiko, Ayumi, Chiaki, Chie, Eiko, Eri, Eriko, Fumiko, Harumi, Hitomi, Hiroko, Hiroko, Hidemi, Hisako, Hinako, Izumi, Izumi, Junko, Junko, K","Ai, Akemi, Akiko, Ayumi, Chiaki, Chie, Eiko, Eri, Eriko, Fumiko, Harumi, Hitomi, Hiroko, Hiroko, Hidemi, Hisako, Hinako, Izumi, Izumi, Junko, Junko, K","Ai, Akemi, Akiko, Ayumi, Chiaki, Chie, Eiko, Eri, Eriko, Fumiko, Harumi, Hitomi, Hiroko, Hiroko, Hidemi, Hisako, Hinako, Izumi, Izumi, Junko, Junko, K",1.0,Rerun translation for block with clean glossary context.
F-0021,P0,chapter-9,07-archive-vn-only,9-5-additional-information-and-full-hypothesis-test-examples.html,N/A,li,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,"State the Question: We need to determine if, at a 0.05 significance level, the average conductivity of the selected glass is greater than one. Our hyp",0.0,Verify if exporter config parsed wrong classes.
F-0022,P1,chapter-10,07-archive-vn-only,10-1-two-population-means-with-unknown-standard-deviations.html,N/A,span,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,The standard error is:,0.0,Verify if exporter config parsed wrong classes.
F-0023,P1,chapter-10,07-archive-vn-only,10-1-two-population-means-with-unknown-standard-deviations.html,N/A,span,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,Degrees of freedom,0.0,Verify if exporter config parsed wrong classes.
F-0024,P1,chapter-10,07-archive-vn-only,10-2-two-population-means-with-known-standard-deviations.html,N/A,span,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,Normal distribution is:,0.0,Verify if exporter config parsed wrong classes.
F-0025,P1,chapter-10,07-archive-vn-only,10-2-two-population-means-with-known-standard-deviations.html,term-00002,span,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,The standard deviation,0.0,Verify if exporter config parsed wrong classes.
F-0026,P0,chapter-11,07-archive-vn-only,11-3-test-of-independence.html,N/A,span,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,The table contains expected (E) values (data).,0.0,Verify if exporter config parsed wrong classes.
F-0027,P0,chapter-11,07-archive-vn-only,11-7-lab-1-chi-square-goodness-of-fit.html,N/A,li,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,"Record the values.
     











































Table 
11.23",0.0,Verify if exporter config parsed wrong classes.
F-0028,P0,chapter-11,07-archive-vn-only,11-homework.html,N/A,span,vn_only_archive_english_prose,CAUSE_EXPORTER_SELECTED_WRONG_BLOCK,,,The Chronicle of Higher Education (2/2/2006),0.0,Verify if exporter config parsed wrong classes.
